sentiment,review
Positive,ഇജ്ജാതി bgm. Vere level. Pwlichuu. Thakarthy. Mammookkka.
Positive,REPEAT mode on vere level item kola mass bgm
Positive,Applause from an ettan fan... Mammukka katta swag
Positive,Ente ponno oru rkshayum illa
Positive,Haneef adeni pwolikkum  Maass trailer  Mommookkayude Face kanum yenn pradeekshichu  Sambavam marana maass aann
Negative,Second vechu dislike ivane okke samathikkanam ..
Positive,Nalla kidilan trailer . Ithu kidukkum.wowww......
Positive,Pwolichu Bgm Vere Level Ikka Waiting
Positive,Adipoli trailer lalettan faninte ella supportum undakum ikka kiduki
Positive,Ohhh ikkaaaa Enthane nigaleee mass kanichu kolluvo..... Love U And Katta waiting..... PDFs orapichuuu
Positive,Etra Varsham Kayinnalum mammoka Ath or Haram aaan
Positive,Myarakam ikka  Hollywood direction and visuals
Positive,Njn oru ettan fan ahnu.trailer pwolichuttoo ikka superr abhrahm pwolikm
Negative,Veendum slow motion kanichu alukale vadiyakkan ethittundu
Positive,redy ayikko makkalee.. vedikettinu thiri koluthi..
Positive,Kidivey ennu parayunnilla athilum valuthIkka prathekshakalkkappuram
Positive,Adipoli Vere level  Aayttam ethumathi fdfs polichadukkan
Negative,Ente ikka ningale vellan oru lalapanum pattula
Positive,don't do dislike .ikka polichu super
Positive,Enth parayana ...pwolich adukki Bgm Vera level
Positive,Ithentha big b remakeoo Ennayaalum maassssss item annn mammuka vere level
Positive,Njan oru katta eettan fan aayirunnu pazhassiraja kandadode oru ikkaa fan aayi Abraham polich  Ikkaaa polich Ikka bakthan
Positive,Kidukachi trailer... Bgm oru rekshayum ella.....
Positive,entay ponnoo kola kolli item vannu makkaleay
Positive,ikka oru rakshayum illa ajathi item
Positive,Ith verum mass alla marana mass
Positive,Ikka pwli...padam 100 days urappu....adiyada makkale ikka kku oru like...
Positive,Pakka mass..... Ikkka heavy    Bgm pwolich
Positive,Mammookkka ningal mwuth aaann
Negative,ONKV ood neeraliii kandam vazhiii Ikka marana mass
Positive,Kandittu malayala cinimak nalloru savidayakan koodi kittum ennoru thonal
Negative,500 + dislikes .. Endonadey... Endu kandit aane  dislike adkne
Positive,Ithine ale teaser en vilikunne? enthayalum kidukki
Positive,entammo.........onnum parayaaanilla......vaakukalku appuram.......romanjaaam at it's peak
Negative,unlike adicha ella oolakalum ivide thanne kaananam tta
Positive,Ikkayude johny walker ormma varunnuu vere level
Positive,Ikka vere level Mass bgm pwli  Ikka mwth
Positive,Ninglu kuttam paranjooo... But music pwoli aanuu gopi annan mass
Positive,Da ikka da mass da ikka ummmaaaa
Positive,Ee varshatthe maraka mass padam kidu bgm
Positive,30 minute 34 k views padam poorikum
Positive,Uff Mammookka'$ entry BGM Stunning trailer
Positive,Memories inu shesham nalloru triller pratheeshikkunnu
Positive,Hvy bgm.... Hvy trailer....... Hvy massssssssss...... Ikkaaaaaaaaaa polikkumm.... Romanjam kond irikan vayya.... Ikka inga polikkum
Positive,Nte ponno oru rakshayum illatta makinggg......polichu....MAMMOOKKAA
Positive,Pwlichu........... Ikkka pwlichu  മാസ്സ് പടം.. ... Hollywood cut..
Positive,kollakolli item enne paraju kettate ullu eppol kando first day locked
Positive,Mass  Ikka  Terror bgm Ithu pwolikum
Positive,njn kandathl Etavum mikacha trailer yennu thanne prym #ikka <3 .. #Ennum ikka
Positive,Vere Level...... Trailer pwoli......  Bgm katta mass....
Positive,Ikkaa vere levelaaaa.. Masss ka baap
Positive,Reapettt mode..on...!!. Enne ividenn arenkhillum onn  kondopoko...????
Positive,Ikkha Mess aanu  #mamookkha  #dq
Positive,Neerali release date epozha makkale ..... Perunnal Derrick abraham angu eduthu makkale
Positive,Screen presence il mass kanikaan mammukka kazhinjitte mattaarum
Positive,Heavy Stills onnum oru rekshem illa adipoli fdfs locked
Positive,Hollywood style...mammukka Box office kidukkum..mass stylish thriller aayirikkum...
Negative,Ikkas padakkam number 04 of 2018 loading
Positive,vere level trailer and bgm gopi sunder musical
Positive,Vere aarkund makkale ee prayathil ingane mass kaanikunne oru hero
Negative,aaa dislike adikkunnavanmar verarumalla complete actorinte sperm
Positive,Uffff  Ussar look mammookka
Positive,Mammookka....mass n style kanikan...ningale kazhinjeyullu malayalathil vere nadanmar.. #style #mass #bgm #dop #mammookka vere level... Fdfs locked
Positive,Pwolicheeee mammookkaa ingalu oru maha sagaram thanneyaaa
Positive,romancham ennokke paranja koranji pogum ....athukkum mele
Positive,Enta ikka polichu   Kidu item  Ethu polikkum
Positive,Adipoli
Positive,Polichu
Positive,Youtube enagne  hang akathirikkum .korach koodiya item alle vannikkn
Positive,Oru rakshayum illa ikka ingal yendhon manusyanaaa itihasam
Positive,Kurach kathirunnenkil entha
Positive,Annum ennum ennum ikka mass 🤩🥰
Positive,Ith bumber hit aavum enn urappullavar
Positive,Uff poli... Mammookkede aaa ottam oru rekshayilla
Positive,Ithu pole bgm ulla mass trailer ithu vare iragiyittila .
Positive,Madhuraraja and abrahaminte santhathikal .........vere level
Positive,masss effect
Positive,Ente ponnoo.. Gopi Sundar .. Ingal poliyanu bro.. Mammookane pinne enthu parayaan oru raksheellaaa
Positive,Kidu bgm for ikka kidu movie super
Positive,ankilinteyum parolinteyum parajayathinu shesham mammokkayude shakthamaya thirichu varavu
Positive,Big b ikka annum innum top lookillum abhinayathilum
Positive,PazhKkam koodubol veeryam koodunna veenanu ikka
Positive,Maranamass padam....Padam kandittum njan thaa trailer kaanunnu
Positive,Pala chettakalum chelakkatte ith onnonnara padaman
Positive,2 million views!68k likes!!!!! IKKA vera level.......
Positive,padam ennum kandu  eppazum kannan thonunna padam
Negative,Padam parama Koothara
Positive,Cinema vizag kandu... Polichu ... Super duper hit
Negative,Maryathakku oru trailer polym irakaan arillaaayy
Positive,Nyan lalettan faanannu pakshe stylishaayitttu ijjathi padangal chyyan ikkakku kazhiyullu
Negative,Banal trash. Panavum nashtam samayavum nashtam.
Positive,Mammookka ningal oru sambhavam thanne
Positive,Enna looks ikkaaaa. U r really maaaassss. Heavy film. Romaanjification at the peak.
Positive,Entammmo kidilan teaser.  Like big B....
Positive,kidu padam jst watched ponnikka ingala maranamass aanu
Positive,Padam kand
Positive,machaa.......aa BGM ente manasill angottu keri polipolikukayaanu
Positive,Padam polichu mass + class movie
Positive,Ponnikkaaa.  Kanditum kanditum mathivarunnilla engale...
Positive,Super film adipoli next joshy director enu paryam
Positive,onnum parayanilla mammoka superb bgm woww
Positive,padam vere level aanu  big B ye kaalum mass aanu
Positive,Ho aaa BGM. Mammookka ithu oru pwoli pwolikkum
Positive,ikka oru raksha illa super waiting
Positive,Ikkayude adya 100cr padamakum ithennu urappullavar like adi
Positive,ith pwolikkum enn urappullavar adi like
Positive,ikkante mugham illathe thanne super mugham koode kanichenkil enthavum avastha
Positive,ikkade ethu videoyum trendingill undaavum athu 1m mugalill views
Positive,verey level maranamaass neeralikk polumilla 1 m views
Positive,Oru rakshyum ellaa bgm hats off gopi sundar chettaaa
Positive,Oru yugam bharicha chakravarthiyude randam udayam
Positive,kalakki ikka ith adar item arikkum
Positive,Ente ponnikka...ningalu Oru rekshayum illa.... polichadukki... idikkatta waiting...
Positive,Malayala cinemayude charithram mattan deric abraham june 16 ethum
Positive,Vera oru nadaneyum mosham parayan njanilla ennalum ijjathi items ee prayathilum nalkan ee megastarinu mathrame kazhiyukayollu
Positive,O ikka polichu 68am vayasillum mass lookka
Positive,Youthanmarude youthan njanmmala ikka#FDFS# katta w8ing
Negative,Neerali backilekk mari ninnollu Karanam verunnath Abrahaminte pidithama athil neerali churungi pokum..#Abrahaminte_Santhathikal Rise up. ..padam blockbuster hit aavum aavum
Positive,Tgf teaser kola mass aanenkil.... Abrahaminte santhathikal trailer kodoora maassum alla... Athukkum mele aanu !!
Positive,Mammookkaa polichuuu hvy trailer katta waiting
Negative,Mammootty fieldoutaayi ennu rodhikkunna fans ee trailor kandittu vaayil viralitottirikkayaaanu
Positive,ikkaa polichu.. big b mood poli bgm
Positive,Ikka mass Kolamass no raksha
Positive,Ethu pollickum 2 days kondu 1 millon pulimuragan 3 days edathu 1 million adikkan  Ekka da
Positive,Pwoli trailer  BGM vere level  Ithokke kandal mathi ithil ninne manassilakkam box office poorakkadal akum
Positive,June 16 Keralakara ilakki marikkum ikka
Positive,gopi anna polichu bgm BIG B ku shesham  veendum kidu
Positive,Namichuuu Ikkaa. Engaluuu pwoliiiyaaanu . Love you ekka
Positive,Enna kidu bgm ahnu ikka
Positive,Kolamass alla Marana mass alla adhukkumeleya nummedae ikka  Ikka ki jayyi
Positive,All the bst mamukkaby katta lalettan faan
Positive,Njan oru ikka fan alla paksha as a malayali i am katta weiting for raja 2
Positive,Long live ikka  Long live ettan  Long live Malayalam movie
Positive,Prayaththe vellunna meyazhakkam ulla nadanan megastar.prayam marannulla aareyum athishayippikkunna actions aan enikk eetavum kooduthal ishtappettath
Positive,aadyam Lucifer eni raja ...box officinta kaaryatil teerumanamayi
Negative,Padam flop aavm Enna Kaaryathil oru doubtum illa....
Negative,Ayyeee Lucifer Oru political movie athine copy adichu madura raja Ee cinema director COPY SUNDAR  aano🤭
Negative,Ooo mire. Njn vicharich teaser Poole uumbiyath aayirikkum nn. Id verre level kolakolli itemm..
Positive,Lalettan fan aanu. Lucifer thakarthu. Ithum adipoli aakatte ennu aashamsikkunnu...
Positive,Chechiuede mukham kandu like  cheythavar aroke ikka
Positive,Trailer  kalaki Pwolichu  madhura raja cenimakku vendi katta waiting
Negative,Trailer pora comedy okkae nalla katta chali avan high chance kanunnu.
Positive,.35 oru pulimurukan touch vannu .enthayaalum sambavam kidkeetund
Positive,Njan oru a10 fan aanu but ithu kollaam...... nammade ikka poliyaanuu..... all the best......
Positive,Pwoli pwoli...  Raja sollaruth mattum tha seyyum  seyyaruth mattum tha sollum
Positive,Ine lucifar  loosaavum  illenkil raaja loosakkum ntammo kidu mammookka
Negative,Trailer kandappo oru karym manasilayi eni mammooka fans luciferine velluvilikkilla
Positive,Ikka kathirikunuuuuu orupadu predhishyodaii madhura Raj valiy vijayum kaikolatai annu ashamsikunu
Positive,Trailer ndoke erakiyalum lalettante record thakarkan lalettanu matre pattu
Negative,enthinaannu allukal dislike adichu koottunnathu ennu enikku manassilaavunnillaa
Positive,Mamooka ishtam. Ennitum Njan Lucifer kandu laletante acting Kidu anennu mammokka fan aya enik parayAthirikan pattilla..
Positive,Tripple strong nnn paranjapam daridryam akumn vjarich....idh takarthuto....waiting...ee prayatilum thalarata aavesham....ingal vallatoru manusyan thanne
Positive,Lucifer oppam pidichunilkanulla ella adavumaayittannu varavu kaathirunnu kaanam adiyude vediyude podipooram
Negative,Sudappikal kuttathode vannu thalli thalli thurimezhugunundallloooo
Positive,Pwli oru rakshyum illa muthaa ikkaaa
Positive,Avasanathe idi veendum veendum kandavar ethra und
Positive,Nigal polike ikka katta ikka fan
Positive,Raajayum pillerum triple strong ennu teaseril. Prithvirajinte oru cameo manakkunnu.
Positive,Randu perum vishu angot kondu poyi...... Malayalam cinema industryde uyarthu ezhunelpum
Positive,Wowww ekkaaaa I love you mmaaaa
Positive,KATTA WAITING.BGM POLICHU ORU RAKSHAYUMILLA.SUPER.MEGASTAR MAMMOOKKA
Positive,Ayo last aaa stund yente ponnu ikka
Positive,trailer  marana  mass  mammoka  magastar
Positive,Lusifar and madura Raja 100Codi clubil kayaranam apo indiyil atvum valiya indastrey Malayalam film indastrey avum
Positive,Last aa adi... Ammo onnim parayaanilla
Negative,Luciferinte athrayum eatthilla ninte vatturaja pinna sunny chechie ullathu kondu kaanaaaam
Positive,തീപ്പൊരി waiting ah  raja  mammookka
Positive,Arokke nthokke paranjalum ikka njngade swanthon njngalk 100 kodeem 200 kodeem onm vnda
Positive,Ithu oru poli polikum മാസ്സ് item
Positive,Superb ikka njn oru ettan ഫാൻ
Positive,Sunny chechiye Kannan vannavar Eveda onnu like adukku.
Positive,Rajayum pillerum stronga fourble strong waiting madhuraraja
Positive,Ikka polikku numma A10 pilleru kude ondu..
Negative,Ee role mammookkak aahnnu cherunathu anu arinja...lalettan fans right now kurupottikal....🤣🤣🤣🤣
Negative,enthu myru dailogado ikkayude ketitile athu pole para mo e.
Negative,Padam onnu eragikotteda pahayanmare appalekum chelakkan kuthirikunu ororthanmaru.. Onnu poyinada..
Negative,Aah nalla best marakkar...sound kettal thanne ariyam...ithu adutha neeraliyo odiyano aavanulla laksham aanu...daivame ee pulli ithu enthinulla purapadu aanu...🤣
Negative,Usmanee.... Mmmuk eenthapaya kachavadam matti bala kachavadam tudangam.. Evdoo kettapole 🤣
Negative,Ee padam  mammootyiku  kodukanam  ithilum adipoli ayirikkum    Pakshe  ivide mandatharam sambavichu  kashttamayipoyi
Negative,Mammooty fans
Negative,Voice kollillaaaa..... Charithra cinemal ingalk pattilaaaa... .....
Negative,Yadhaartha kadha
Negative,aaahaaaa negative comment aayi kure pannikal vannallllloooo
Negative,ayyeeee.....ithenthu samsaram....slangue pattilla lelettanu ...... sadharana malayalam mathi aayirunnu....ithu nalla bore aayitund
Positive,Laletta adich policho laletta Nigaloru muthaan ie padam Vijayikom nokiko apo
Negative,Charitra cinima lalettan cheythal athu munnottu pokilla. In flopped
Negative,Ei padamonnu erangikkottay athenu mumbay ningalu thallallay
Positive,Sound athu screenil kanam  lalettan polikkum
Negative,Ettan kootiya koodoola adurappa end diloga id chirichu chavum
Negative,Laleta pattunna kadhapathram cheeyy ningalk charithra cinema sheriyaakoola Aa samayam 2 adipoli cinema cheyyan nok borayitund dialog
Negative,ikkante eazhrikath varilla ikkante varunnu kunjali marakkar  WAITING IKKA POLIKKUM
Negative,ippo mansilai e padam 8 nilayil pottum
Negative,Ee padathien ethra Kali aaiiyalum mammuni enn parayunna nadante oru padathinum ithinte collection record thakarkan pattitila...nthin pakuthi polum ilaaa
Positive,trailar um padavum vere annello ethe ennaaa
Positive,Happy New Year LalettaCinema kanduketto..Love u
Positive,Film kandu..mikacha chithram..mohanlal manju warier magic..
Negative,E negative commentsitta  ella oolakalkum kadutha asooya matram...athinithuvare marunnu kandupidichittilla
Positive,Njan padam kandu....kidukachi padam .....ellaarum ee padathe Patti negatives mathram parayunnu...I don't know why....any I lived this movie
Positive,Ippol kandittu varunnatheyullu THE MOST DRAMATIC CINEMA I HAVE EVER SEEN
Positive,Adipoli   പടം #ഒടിയൻ Istam
Positive,mohanlal anna ningal veru mass alla kola massaa
Positive,Laaleta...manjuchechi...super hit anutto ee fillm ...I like..odiyan...
Positive,Oru saada nalla naatin purathe kada..athre ullu...aenike ishtta pettu.
Negative,Anthamaaya thaara aaradana aaswadana nilavara thakarchayude soochanayanu. Cinemaye swathanthravum kalaaparavumayi veekshikunna oru yuva janathayeyanu malayala cinemak aavashyam
Negative,OVER HYPE KODUTH EE OOLA PADATINU VENDI TALLIYA ELLA OOMBANMARAYA LALAPPAN FANSINTE KARANAKUTTIK NOKI ONN POTTIKAN TONUNNAVAR LIKE EDUKA
Negative,enii orikalum nii oru film um direct cheyalle poda V ASree kumari
Negative,odiyan thulapichu myran V A Sree kumar kopan poda
Negative,V A sree kumar is indian film joker in malayalam industry fool poda sree kumari myre poyi chavada vatta
Negative,Endhokke aayirunnu malapuram kathi.kozhikode aluva
Negative,Enta ethra kalikandittullatha ne? E ODUKKATHEkali vendaarunnu laletta
Negative,Oooo Odiyan
Negative,Endokke ayerunnu.... Lag padam... Monee shree
Positive,Theatre baaki undayal mathiyarunu...ente laletaaaaa....ingal vere level aanu man
Positive,Odi vidyakal kannan kathu nilkukyanu laletta
Positive,Odiyante releasinginu vandi kathu nilkukyanu laletta
Positive,Entae jeevathil ithrayum pravishyam trailer kanda verae oru cinemayum illa
Positive,Eee oru movie കൊണ്ട്‌ mohanlal fan aakumennu തോനുന്നു katta waiting
Negative,Ithrem dislike adichavar malayalikal aagan vazhiyilla
Positive,Eniyum eniyum malayala cinema orupaad uyaragalil ethatte
Positive,Ella recordum theerkaan kazhiyatte ennaasamsikunnu...Enkil maathre e record marakaar release aavumbo thiruthaan saadhikku
Positive,Ikka uyire.... Malayalm cinema ude abhimanyam...... Mammukka Fans Like here
Positive,kaalame ini pirakkumoo ithpoloru vismayam   Mamukka___
Positive,Last oottam kanddo makkale onnum parayaan illa aaa face lle mattam anergy uff powlikkum ikkaaa
Positive,Trailer veedum veedum kanunavare njn mathramoo??????
Positive,Malayalam cinema technical aayi orupaad uyarattee. Valiya budget quality films iniyum ithe pole undavatte.
Positive,Vere level ..  cinema aakum. Ithu
Positive,Hai Mammukka rope action maati vfx aakiyallo. Pwoli
Positive,Appol  lalettante padathinte Record ellam  thakarthu  eriyan pokunnu alle ayikotte malayala  Cinema uratte
Positive,Ikkaante pilleer onnu othu pidiche namukkid 15 million wiews aakanam
Positive,Oru rakshayum illa... adhi gambeeram ennu parajal idhanu namichu
Positive,Njan oru ikka fan alla  Pakshe ente romam vare ezhunnett ninnu apaaram
Positive,ente mamookkaa.... ijjathi....  romaja.kanjukam..  mammootti istham....  ithu kalakkum.. polikkum... thimirkkum
Positive,Ithoke ikkane kondallathe aare komdu pettum
Positive,Katta ettan fan pakshe entho Manasu parayunu  Ith thakarkum
Positive,Njaan ithuvare malayala സിനിമയിൽ ഇങ്ങനെ oru trailer kandittilla
Positive,Malayala cinemayude range enthanen ariyan erikkunathe ullu MAMANGAM
Positive,ഇത് film ആണോ real ആണോ  Mammukka pwoli
Positive,Mammukka ningale kurich onnum parayanillaa ith enthe avasanathe vakkaaa  storong 999
Positive,Kidu energetic trailer     dislike adikkanum venam oru manakkatti
Positive,Wowww.. Amazing.. Katta waiting.. Ikka and unni.. Super..
Positive,idhu kandondu irkumbo romanjam koodi koodi verunnu
Positive,Action  scene itra manoharamai chaiyyan unniyettane kazhinje ollu bakki ellarum.......chettante carrier best aayirikkum ChandrothPanickar enna kadhapatram...waiting
Positive,Ikkayodu muttan inniyum valaraanund palarum 🥰🥰🥰
Positive,ande ponno kili poi trailer kanditt
Positive,Uff oru rekshem illa ikka
Positive,Vadakkan veeragaadhayileyum pazhassirajayileum kanakku allathe puthiya oru thalathil mammookkaye thannathinu nandhi
Positive,Mammukka marana mass  Ikka fans like  Katta wi8 for mammangam
Positive,Kidukki powlichu oru rekshayamilla onnum parayanilla
Positive,Mammokkaaa katta waiting for this movie
Positive,Anttemoo anthayith akkee kudee oru koritharip
Positive,Super mammoookkkaaa... ....   Oru lalettan bhakthan..
Positive,Ente ponno vera level mammookkante energy body uff
Positive,Kidu trailer. Mammukka ningal vere level aanu
Positive,MWONE ETH KALI VERAYA🤙MAMAGAAM VERA LVL MASSMARIKAM
Negative,Not impressed  yenne kollale please manasilolladhu paranjanne olllu Suraj.jpg
Positive,Ithu minimum 10 thavana njaan repeat adichu kandittundavum
Positive,Romagam mammooka nigale ennum young anna..
Positive,Romanjification Mammookkaaaa ingal vere level annn  mammookakk koduthe makkale oru like
Positive,Ikka
Positive,njan katta llaletten fana ikka ettente pilleru koodu  ekkante pillerekkode aaagoshikkkan
Positive,Age is just an number Enn manassilaki thanna trailer
Positive,രോമാഞ്ചം katta waiting for mamangam day november 21
Positive,Kandappol aaa kalagattathil ethiya pole oru feel
Negative,ijjathi moonjiya makeup ikka... shokam aaki kalanju
Positive,Ee nadante aaradhagan aan enn thala uyrthi thnne prym Ella kalathum........... proud to be a mammukaa fan
Negative,Dislike adicha colani membersin ente namaskaram. Feeling pucham
Negative,Alinje polinja trailer.. odiyan aakumo ?? 🤓🤓
Positive,Oru rakshela padathin vendi katta waiting
Positive,Ikka ikka....ikka ikka ikka ....ikka ikka ikka ikka....ente ponnu ikka....marikilla ningale njn marikuvolam...
Positive,Mammukka oru rakshayilla     NEXT 200 CRORES IN MOLLYWOOD CINEMA
Positive,November 21 avan kathirikunnavar like adich pwolikk🥰
Positive,Owf Poli......angane oru paad naal kazhinj oru Nalla cinima kanaan povnu
Positive,1:44  ikka nigalde energy passion    0:37  0:47 King 1:08  1:26 1:32
Positive,Mamooka ningal vismayipichu kontirikaanu ee prayathilum
Positive,Sorry Trailer  veendum veendum kandukondirikunnathkaranam Comments\r  vazhikkan pattiyittilla Mammookka polikkum
Positive,Ikkaaaaa. Ingale ennaa level aah. Ee prayathilum body... Muthane
Positive,Ende ponnooo hvy item love you mammukka
Positive,Onnum parayan illa polich adakki mammookka
Positive,Katta waiting for mamangam  Mammookkaaa
Positive,Ithu oronnonnara allaaaa athukum mele  mammookka uff ejjadhii
Positive,uff trailer  mamuka mohanlal legends aanu oru tharkavum venda
Positive,Enta ponno ithu verae level Iove u ikka
Negative,Kavya film company perinu Oru gummilla...
Positive,Njan oru laletan fan anu but ee movie namude abimaanamaanu enthayalum mega hit avan prarythikkunnu
Positive,Above 250 cr collection kittum ennullavar ivide come on
Positive,Mammookka..... Uff ijjathi .. Ente ponnikkkaa polichuuu.... Katta waiting
Negative,Eeee paheyente sthaneth..Mohanlal annn 70am vayesill Eee padem cheythirinnenkill....edukam..pallikatilekh. Lal ettane..allenkil dehippikam..
Positive,Wow ejjathi item mammookaa. Ingalu puliylla puppuliyaa
Positive,Ithoru malayala cinema k oru vazhithirivu aakatte fanisam marannu support cheyyu
Positive,Ettanta aniyanmarude vaka all the best ... ikka oru rakshayumilla
Positive,Its not a trailer its a ultsavam
Positive,Like adichit button pottikandirnna bagiyam.... ikkaa..
Positive,Malayalam cinema innevare vannathil vachu ettavum mighacha trailer
Negative,Dislike adicheverk oke ente vaka Nadu virel  pranamem
Positive,Trailer....nte ponno...oru rakshem illa katta pwli.....ikka pne parayandaallo....megastar mammootty in mamangam....katta wa8tng  haters...jst move bck
Positive,Ithore nalla padam aaakatte enne praaarthikkunnu Poli trailer
Negative,2.k dislikes. Nthonadey nallathine nallath enn parayanam. Kayakulam kochuniye kall Kollam
Positive,രോമാഞ്ചം     ഇതാണ്  real megastar ilove mammukka
Positive,1:45 enta ponooo ..ota peru Mammootty...
Positive,Mamooka ingalu orum sambavam Alla ithihasam thank you
Negative,2.7k unlike adicha pengalepanni makkalkku ente naduviral namaskaram
Positive,#Mamangam #Mamangamtrailer #Mammootty  mammoookkkaaaaaaaa polichuuuuuu
Positive,Ufff onm prynilla power ikka.... by ettan fan
Positive,veendum youtube hang aaki kond mamangam
Negative,Oh endhuvaadai idhokke aarkengilum dislike adikkan thono
Negative,Poli trailer Dislike motham mohanlal fans ayirikkum
Positive,Onnum parayanilla ennalum  oru rakshayam illa
Positive,Uff.... ingnethe oru trailer malayalam industryil thanne vannukanilla. Oru rakshayum illa adaar item thanne aann മമ്മൂക്ക
Positive,ikkaaaaa     jeevannn
Positive,Sanchit Bulhara bgm nte Ponno no Raksha
Negative,Unlike adichengilum mammookaye tholpikkumenn paranj kond pramukha  fans
Positive,Veré level
Positive,Polichu mass alla marana massssss  ikkaaaaaaaaa
Positive,Entammooooo oru raksha illatha trailer Bgmil evidekkeyo avengersinte bgm ullath Poole thonnunnath enik maathram aano?🤔🤔🤔
Positive,Ente mone al powli ikka ishtam
Positive,Mamangam keralathinte maathram charithramayi nilanilkenda onnalla.. ee dheerathayude kadha lokham muzhuvanum a ariyanam
Negative,aa dislike  mikkathum  mohan lal fans aayirikkum
Positive,Bahubaliyumayi kattakk nikkan pattiya padam. Mammmookka U are still young
Positive,Ente ponnu ikka nigal vere level aanu
Positive,Parayan vakulkateetham  Paranjalla kandariyenda mahaa mamanga velayatathinu loogamengum therasheela pongi  Inne ellam kaalam parayum
Positive,Oru rakshyum illatha trailer Trailer ingane aanenkil movie eganeyayirikkum mass aayirukkm
Negative,Dislike adichavarkk enthe naduviral namskaram
Positive,Padathil animation undenn paranjappo ethreem karutheela   Ikka super
Negative,Oru njettalum illa romanjavum illa ayye
Positive,Ikka poliyhanu ithreyum prayathil inghanew okke nikkunillew ikka vere level annu poli ahh ikka
Positive,anusithaaraye kaanan veendi trailer kandavar ivide like cheythooli
Negative,Ee trailer vachaaanooo luciferinodu muttaan varunnath
Negative,Dislike adikaan vanna para naarikal pinne enthina ith verthee kaanunnath
Positive,Full pulimurukan team.......  Lalettan ki jai......
Negative,Diss like adichavarodanu Ella nayinte makkalkkum naduviral namaskkaram
Positive,Full pulimurugan cast🤩🤩🤩ith polikm muruga nee theerneda
Negative,Laluni fanskar thudangi dislike adikkan avarkku ente vaka
Positive,Avasanthe Thalaivaa vili pinne aah Fight Hywaaahh Polichadukki
Positive,Machane pwolii item inka pwolikkum.   Thakarkkum
Negative,Raju ettan kurve  nallonm thonnunde
Positive,Vere level ... Onnum parayan ella....
Positive,Ente ikkkaaaa kola mass YouTube hang aanu makkale
Positive,Oru rakshayum illa ikka.. ningal pwolichu..  ith kidukkum
Positive,Ini releasine vendi katta waiting 🤩
Positive,Kali brazilum(lalettan) Argentina ( mammookka)yum thammila.... Thee paarum.... Welcome mammookka....
Positive,രാജ double അല്ല
Positive,Poli poli polichu mass mass mass maranamass
Positive,Pwoli trailer sunny chechiii istam ikka jeevanaanu
Negative,Fanbasil maathram movei kaanunnoraavum dislike cheythu negative aakkunne avarkkente naduviral pranamam
Positive,polich ikkkkkkaaaaaaaaaa  kola maaaaaaaaaaas  marana maaaaaaaaaaaaas  triple maaaaaaaaaaaaaaas
Positive,Trailer kandu for sunny leone and mammokka
Positive,Trailer kidu mass marana mass.  Ee padam recordukal thoothuvarrum
Negative,Ayye luciferinte aduth polum etheella.Luciferine pottikanonnum ponnilla.Lucifer trailer kandappam mone oruuuu romnjam aayirunnu.Ithenthooonu ayyyye....
Positive,Ente ammo kidilam trailer  L___ && MR
Positive,Annyaayam... *ROMANJAM*    ikkaaaaaaaa.........
Positive,Kidukki.........  Last  punch romanjam..........
Positive,Entha oru enegy nammude daddy girigayum undu ithu polikum
Positive,Hammme poli lastathe aa scene kidu... Frames
Negative,Dislike adikkan thanthaku munp undayavanmar vannallo
Positive,Wow..Maranamaas Trailer  Gopi Sundar bgm oru rakshemilla ttaa...Hit like if u watch FDFS
Positive,Mass mass pakka masss
Positive,Enta ponney ijjathi item uff romanjam
Positive,Nalla kidukkachii trailer... Ikka love uuu...
Positive,Kidu item ikka ith trendigil vannirikum
Positive,Annum innum ennum rajade pilleru triple strongaaa.....uyirdaaaa
Positive,Ente ponno ithreyum kathu irunne trailer vere illa ikka uyir
Negative,Un like Adaichavarkk Nadu viral namaskkaram
Negative,Dislike adicha myrenmark vendi like adi
Positive,Wow... Kathirippinte Sugam Arinjathu Ippolanu......🥰  Ikka thandaaa RAJAA.... Powliyanu...Mass allaaa...kola mass aaanu.......🥰🥰🥰🥰🥰🥰🤩🤩🥰🥰🥰🥰
Negative,Narikal irangum munpe dislike adikkunno chettakale
Positive,Makkale oru rakshayilla oru cheriya promo njan kandu trailerinte mass alla marana mass alla kolaa mass item loading
Positive,Eee vishu ikka yum pillerum kondu pokum
Positive,Katta waiting manh ini verum 8 min
Negative,Irakikko pakshe Stephen achayan ullidatholam kaalam ivide oru rajanum adhikam vazhan ponilla
Positive,Madhura raja wait cheyth irikunavr adi like  Ippo thanne oru 5 pravishym engilum ivide vannu nokiyavr aarokke und
Negative,Dis like cheida yella lalunni fansu polum trailorinu vendi katta waitingil aanallo
Positive,Ikka katta waiting onnu pettanu ita kolamayirunnu
Positive,Rajauda kalii enum keralam kannan pokunnaa olluu🤩🤩
Positive,madhura raja trailerinu surya fansinte ashamsakal
Positive,തലൈവാ ...🤩🤩  #Raja.. maduraraja..  20 Mins To Go !!! 🤩  ```Get Ready Megastar Fans```
Positive,Njan lalettan fan aah annal madhurajakk vendi waiting aah
Negative,കുരു കുറെ എണ്ണത്തിനു പൊട്ടുനീണ്ടു  ...trailer upload avunathinu munbe thane 3k+ dislike ayiii....Ntha cheyale rodhanam
Positive,30 minutes more        waiting Ikka's maduraRaja
Negative,Aaruvaadee dislike adich ponath ithrakk kazhappoo
